Dealer_Up,Drawn_Cards,Num_of_Hits,Did_YOU_Win
8 of Spades,"['8 of Spades', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '2 of Clubs', '7 of Clubs', '9 of Diamonds', 'Jack of Clubs', '3 of Spades', '2 of Spades', 'King of Clubs', 'King of Hearts', '5 of Clubs']",2,1
8 of Spades,"['8 of Spades', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '2 of Clubs', '7 of Clubs', '9 of Diamonds', 'Jack of Clubs', '3 of Spades', '2 of Spades', 'King of Clubs', 'King of Hearts', '5 of Clubs', '7 of Spades']",0,1
8 of Spades,"['8 of Spades', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '2 of Clubs', '7 of Clubs', '9 of Diamonds', 'Jack of Clubs', '3 of Spades', '2 of Spades', 'King of Clubs', 'King of Hearts', '5 of Clubs', '7 of Spades']",4,0
8 of Spades,"['8 of Spades', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '2 of Clubs', '7 of Clubs', '9 of Diamonds', 'Jack of Clubs', '3 of Spades', '2 of Spades', 'King of Clubs', 'King of Hearts', '5 of Clubs', '7 of Spades', '10 of Spades']",0,1
Queen of Diamonds,"['Queen of Diamonds', '6 of Hearts', '2 of Hearts', 'Ace of Hearts', '6 of Diamonds', '5 of Clubs', 'King of Hearts', 'Queen of Clubs', '8 of Spades', '2 of Diamonds', '6 of Clubs']",8,1
Queen of Diamonds,"['Queen of Diamonds', '6 of Hearts', '2 of Hearts', 'Ace of Hearts', '6 of Diamonds', '5 of Clubs', 'King of Hearts', 'Queen of Clubs', '8 of Spades', '2 of Diamonds', '6 of Clubs', '4 of Spades', '3 of Diamonds', '6 of Spades']",4,0
Queen of Diamonds,"['Queen of Diamonds', '6 of Hearts', '2 of Hearts', 'Ace of Hearts', '6 of Diamonds', '5 of Clubs', 'King of Hearts', 'Queen of Clubs', '8 of Spades', '2 of Diamonds', '6 of Clubs', '4 of Spades', '3 of Diamonds', '6 of Spades', '9 of Spades', '7 of Clubs']",0,0
Queen of Diamonds,"['Queen of Diamonds', '6 of Hearts', '2 of Hearts', 'Ace of Hearts', '6 of Diamonds', '5 of Clubs', 'King of Hearts', 'Queen of Clubs', '8 of Spades', '2 of Diamonds', '6 of Clubs', '4 of Spades', '3 of Diamonds', '6 of Spades', '9 of Spades', '7 of Clubs']",4,0
Queen of Diamonds,"['Queen of Diamonds', '6 of Hearts', '2 of Hearts', 'Ace of Hearts', '6 of Diamonds', '5 of Clubs', 'King of Hearts', 'Queen of Clubs', '8 of Spades', '2 of Diamonds', '6 of Clubs', '4 of Spades', '3 of Diamonds', '6 of Spades', '9 of Spades', '7 of Clubs']",0,0
6 of Diamonds,"['6 of Diamonds', '2 of Spades', '2 of Hearts', '10 of Diamonds', '5 of Hearts', '6 of Clubs', '4 of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Queen of Clubs', '10 of Hearts']",12,0
6 of Diamonds,"['6 of Diamonds', '2 of Spades', '2 of Hearts', '10 of Diamonds', '5 of Hearts', '6 of Clubs', '4 of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Queen of Clubs', '10 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Jack of Hearts', 'King of Clubs']",4,0
6 of Diamonds,"['6 of Diamonds', '2 of Spades', '2 of Hearts', '10 of Diamonds', '5 of Hearts', '6 of Clubs', '4 of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Queen of Clubs', '10 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Jack of Hearts', 'King of Clubs']",0,0
6 of Diamonds,"['6 of Diamonds', '2 of Spades', '2 of Hearts', '10 of Diamonds', '5 of Hearts', '6 of Clubs', '4 of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Queen of Clubs', '10 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Jack of Hearts', 'King of Clubs']",5,0
6 of Diamonds,"['6 of Diamonds', '2 of Spades', '2 of Hearts', '10 of Diamonds', '5 of Hearts', '6 of Clubs', '4 of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Queen of Clubs', '10 of Hearts', 'Jack of Clubs', '7 of Diamonds', 'Jack of Hearts', 'King of Clubs', '8 of Spades']",0,0
King of Spades,"['King of Spades', '6 of Clubs', '3 of Spades', 'Jack of Clubs', 'Jack of Hearts', '2 of Clubs', '10 of Spades', '7 of Hearts', 'Jack of Diamonds', '7 of Spades', '10 of Hearts']",14,1
King of Spades,"['King of Spades', '6 of Clubs', '3 of Spades', 'Jack of Clubs', 'Jack of Hearts', '2 of Clubs', '10 of Spades', '7 of Hearts', 'Jack of Diamonds', '7 of Spades', '10 of Hearts', '3 of Clubs', '8 of Clubs']",7,1
King of Spades,"['King of Spades', '6 of Clubs', '3 of Spades', 'Jack of Clubs', 'Jack of Hearts', '2 of Clubs', '10 of Spades', '7 of Hearts', 'Jack of Diamonds', '7 of Spades', '10 of Hearts', '3 of Clubs', '8 of Clubs', '6 of Diamonds', '4 of Hearts', '9 of Diamonds']",0,0
King of Spades,"['King of Spades', '6 of Clubs', '3 of Spades', 'Jack of Clubs', 'Jack of Hearts', '2 of Clubs', '10 of Spades', '7 of Hearts', 'Jack of Diamonds', '7 of Spades', '10 of Hearts', '3 of Clubs', '8 of Clubs', '6 of Diamonds', '4 of Hearts', '9 of Diamonds']",5,0
King of Spades,"['King of Spades', '6 of Clubs', '3 of Spades', 'Jack of Clubs', 'Jack of Hearts', '2 of Clubs', '10 of Spades', '7 of Hearts', 'Jack of Diamonds', '7 of Spades', '10 of Hearts', '3 of Clubs', '8 of Clubs', '6 of Diamonds', '4 of Hearts', '9 of Diamonds']",0,0
9 of Hearts,"['9 of Hearts', '4 of Clubs', 'King of Hearts', '3 of Spades', '5 of Spades', '5 of Diamonds', '7 of Hearts', 'Queen of Diamonds', '7 of Spades', 'King of Diamonds', 'King of Spades']",15,1
9 of Hearts,"['9 of Hearts', '4 of Clubs', 'King of Hearts', '3 of Spades', '5 of Spades', '5 of Diamonds', '7 of Hearts', 'Queen of Diamonds', '7 of Spades', 'King of Diamonds', 'King of Spades', '6 of Diamonds']",9,1
9 of Hearts,"['9 of Hearts', '4 of Clubs', 'King of Hearts', '3 of Spades', '5 of Spades', '5 of Diamonds', '7 of Hearts', 'Queen of Diamonds', '7 of Spades', 'King of Diamonds', 'King of Spades', '6 of Diamonds', '8 of Hearts', '3 of Diamonds']",0,1
9 of Hearts,"['9 of Hearts', '4 of Clubs', 'King of Hearts', '3 of Spades', '5 of Spades', '5 of Diamonds', '7 of Hearts', 'Queen of Diamonds', '7 of Spades', 'King of Diamonds', 'King of Spades', '6 of Diamonds', '8 of Hearts', '3 of Diamonds']",5,1
9 of Hearts,"['9 of Hearts', '4 of Clubs', 'King of Hearts', '3 of Spades', '5 of Spades', '5 of Diamonds', '7 of Hearts', 'Queen of Diamonds', '7 of Spades', 'King of Diamonds', 'King of Spades', '6 of Diamonds', '8 of Hearts', '3 of Diamonds']",0,1
4 of Spades,"['4 of Spades', '6 of Hearts', 'King of Hearts', 'Jack of Hearts', 'Queen of Clubs', '4 of Hearts', '5 of Clubs', '10 of Spades', 'Queen of Spades', '7 of Diamonds', '6 of Clubs']",16,0
4 of Spades,"['4 of Spades', '6 of Hearts', 'King of Hearts', 'Jack of Hearts', 'Queen of Clubs', '4 of Hearts', '5 of Clubs', '10 of Spades', 'Queen of Spades', '7 of Diamonds', '6 of Clubs', 'King of Spades']",9,1
4 of Spades,"['4 of Spades', '6 of Hearts', 'King of Hearts', 'Jack of Hearts', 'Queen of Clubs', '4 of Hearts', '5 of Clubs', '10 of Spades', 'Queen of Spades', '7 of Diamonds', '6 of Clubs', 'King of Spades']",0,0
4 of Spades,"['4 of Spades', '6 of Hearts', 'King of Hearts', 'Jack of Hearts', 'Queen of Clubs', '4 of Hearts', '5 of Clubs', '10 of Spades', 'Queen of Spades', '7 of Diamonds', '6 of Clubs', 'King of Spades']",5,1
4 of Spades,"['4 of Spades', '6 of Hearts', 'King of Hearts', 'Jack of Hearts', 'Queen of Clubs', '4 of Hearts', '5 of Clubs', '10 of Spades', 'Queen of Spades', '7 of Diamonds', '6 of Clubs', 'King of Spades']",0,0
7 of Clubs,"['7 of Clubs', 'Ace of Clubs', 'Ace of Spades', '2 of Spades', '5 of Diamonds', '2 of Hearts', 'King of Hearts', '3 of Diamonds', '10 of Diamonds', '4 of Diamonds', '4 of Spades']",22,1
7 of Clubs,"['7 of Clubs', 'Ace of Clubs', 'Ace of Spades', '2 of Spades', '5 of Diamonds', '2 of Hearts', 'King of Hearts', '3 of Diamonds', '10 of Diamonds', '4 of Diamonds', '4 of Spades', '5 of Spades', '6 of Clubs', '9 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Queen of Spades']",10,0
7 of Clubs,"['7 of Clubs', 'Ace of Clubs', 'Ace of Spades', '2 of Spades', '5 of Diamonds', '2 of Hearts', 'King of Hearts', '3 of Diamonds', '10 of Diamonds', '4 of Diamonds', '4 of Spades', '5 of Spades', '6 of Clubs', '9 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Queen of Spades', 'Jack of Diamonds']",0,0
7 of Clubs,"['7 of Clubs', 'Ace of Clubs', 'Ace of Spades', '2 of Spades', '5 of Diamonds', '2 of Hearts', 'King of Hearts', '3 of Diamonds', '10 of Diamonds', '4 of Diamonds', '4 of Spades', '5 of Spades', '6 of Clubs', '9 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Queen of Spades', 'Jack of Diamonds']",5,0
7 of Clubs,"['7 of Clubs', 'Ace of Clubs', 'Ace of Spades', '2 of Spades', '5 of Diamonds', '2 of Hearts', 'King of Hearts', '3 of Diamonds', '10 of Diamonds', '4 of Diamonds', '4 of Spades', '5 of Spades', '6 of Clubs', '9 of Diamonds', '5 of Hearts', '7 of Diamonds', 'Queen of Spades', 'Jack of Diamonds']",0,0
Queen of Diamonds,"['Queen of Diamonds', '9 of Hearts', '8 of Clubs', 'Jack of Clubs', '9 of Spades', '3 of Diamonds', '6 of Hearts', '2 of Spades', 'Jack of Spades', 'Ace of Diamonds', '6 of Spades']",22,0
Queen of Diamonds,"['Queen of Diamonds', '9 of Hearts', '8 of Clubs', 'Jack of Clubs', '9 of Spades', '3 of Diamonds', '6 of Hearts', '2 of Spades', 'Jack of Spades', 'Ace of Diamonds', '6 of Spades']",10,0
Queen of Diamonds,"['Queen of Diamonds', '9 of Hearts', '8 of Clubs', 'Jack of Clubs', '9 of Spades', '3 of Diamonds', '6 of Hearts', '2 of Spades', 'Jack of Spades', 'Ace of Diamonds', '6 of Spades']",0,0
Queen of Diamonds,"['Queen of Diamonds', '9 of Hearts', '8 of Clubs', 'Jack of Clubs', '9 of Spades', '3 of Diamonds', '6 of Hearts', '2 of Spades', 'Jack of Spades', 'Ace of Diamonds', '6 of Spades']",6,0
Queen of Diamonds,"['Queen of Diamonds', '9 of Hearts', '8 of Clubs', 'Jack of Clubs', '9 of Spades', '3 of Diamonds', '6 of Hearts', '2 of Spades', 'Jack of Spades', 'Ace of Diamonds', '6 of Spades', 'Queen of Clubs']",0,0
8 of Clubs,"['8 of Clubs', '5 of Clubs', 'Queen of Spades', '6 of Spades', '5 of Hearts', '2 of Clubs', '3 of Clubs', 'King of Clubs', 'Queen of Clubs', 'Jack of Spades', '2 of Hearts']",23,1
8 of Clubs,"['8 of Clubs', '5 of Clubs', 'Queen of Spades', '6 of Spades', '5 of Hearts', '2 of Clubs', '3 of Clubs', 'King of Clubs', 'Queen of Clubs', 'Jack of Spades', '2 of Hearts', '5 of Diamonds']",12,0
8 of Clubs,"['8 of Clubs', '5 of Clubs', 'Queen of Spades', '6 of Spades', '5 of Hearts', '2 of Clubs', '3 of Clubs', 'King of Clubs', 'Queen of Clubs', 'Jack of Spades', '2 of Hearts', '5 of Diamonds', 'Ace of Spades', 'Queen of Diamonds']",0,0
8 of Clubs,"['8 of Clubs', '5 of Clubs', 'Queen of Spades', '6 of Spades', '5 of Hearts', '2 of Clubs', '3 of Clubs', 'King of Clubs', 'Queen of Clubs', 'Jack of Spades', '2 of Hearts', '5 of Diamonds', 'Ace of Spades', 'Queen of Diamonds']",6,1
8 of Clubs,"['8 of Clubs', '5 of Clubs', 'Queen of Spades', '6 of Spades', '5 of Hearts', '2 of Clubs', '3 of Clubs', 'King of Clubs', 'Queen of Clubs', 'Jack of Spades', '2 of Hearts', '5 of Diamonds', 'Ace of Spades', 'Queen of Diamonds']",0,0
Ace of Diamonds,"['Ace of Diamonds', '3 of Diamonds', 'King of Diamonds', '5 of Spades', '6 of Hearts', '7 of Spades', '3 of Hearts', '6 of Clubs', 'Jack of Hearts', 'Queen of Clubs', '10 of Hearts']",24,0
Ace of Diamonds,"['Ace of Diamonds', '3 of Diamonds', 'King of Diamonds', '5 of Spades', '6 of Hearts', '7 of Spades', '3 of Hearts', '6 of Clubs', 'Jack of Hearts', 'Queen of Clubs', '10 of Hearts', '10 of Clubs']",13,1
Ace of Diamonds,"['Ace of Diamonds', '3 of Diamonds', 'King of Diamonds', '5 of Spades', '6 of Hearts', '7 of Spades', '3 of Hearts', '6 of Clubs', 'Jack of Hearts', 'Queen of Clubs', '10 of Hearts', '10 of Clubs', 'King of Clubs']",0,0
Ace of Diamonds,"['Ace of Diamonds', '3 of Diamonds', 'King of Diamonds', '5 of Spades', '6 of Hearts', '7 of Spades', '3 of Hearts', '6 of Clubs', 'Jack of Hearts', 'Queen of Clubs', '10 of Hearts', '10 of Clubs', 'King of Clubs']",7,0
Ace of Diamonds,"['Ace of Diamonds', '3 of Diamonds', 'King of Diamonds', '5 of Spades', '6 of Hearts', '7 of Spades', '3 of Hearts', '6 of Clubs', 'Jack of Hearts', 'Queen of Clubs', '10 of Hearts', '10 of Clubs', 'King of Clubs', '2 of Clubs']",0,1
Queen of Diamonds,"['Queen of Diamonds', 'Queen of Spades', '4 of Hearts', '10 of Clubs', '3 of Hearts', 'Jack of Hearts', '2 of Diamonds', '9 of Clubs', '3 of Diamonds', '6 of Spades', '2 of Spades']",26,0
Queen of Diamonds,"['Queen of Diamonds', 'Queen of Spades', '4 of Hearts', '10 of Clubs', '3 of Hearts', 'Jack of Hearts', '2 of Diamonds', '9 of Clubs', '3 of Diamonds', '6 of Spades', '2 of Spades', 'Ace of Diamonds', '8 of Diamonds']",14,0
Queen of Diamonds,"['Queen of Diamonds', 'Queen of Spades', '4 of Hearts', '10 of Clubs', '3 of Hearts', 'Jack of Hearts', '2 of Diamonds', '9 of Clubs', '3 of Diamonds', '6 of Spades', '2 of Spades', 'Ace of Diamonds', '8 of Diamonds', 'King of Clubs']",0,0
Queen of Diamonds,"['Queen of Diamonds', 'Queen of Spades', '4 of Hearts', '10 of Clubs', '3 of Hearts', 'Jack of Hearts', '2 of Diamonds', '9 of Clubs', '3 of Diamonds', '6 of Spades', '2 of Spades', 'Ace of Diamonds', '8 of Diamonds', 'King of Clubs']",7,0
Queen of Diamonds,"['Queen of Diamonds', 'Queen of Spades', '4 of Hearts', '10 of Clubs', '3 of Hearts', 'Jack of Hearts', '2 of Diamonds', '9 of Clubs', '3 of Diamonds', '6 of Spades', '2 of Spades', 'Ace of Diamonds', '8 of Diamonds', 'King of Clubs']",0,0
10 of Clubs,"['10 of Clubs', '8 of Hearts', '7 of Clubs', '7 of Hearts', '9 of Diamonds', '7 of Diamonds', '2 of Hearts', '4 of Diamonds', '9 of Hearts', 'King of Diamonds', '7 of Spades']",27,0
10 of Clubs,"['10 of Clubs', '8 of Hearts', '7 of Clubs', '7 of Hearts', '9 of Diamonds', '7 of Diamonds', '2 of Hearts', '4 of Diamonds', '9 of Hearts', 'King of Diamonds', '7 of Spades', 'Jack of Spades']",15,1
10 of Clubs,"['10 of Clubs', '8 of Hearts', '7 of Clubs', '7 of Hearts', '9 of Diamonds', '7 of Diamonds', '2 of Hearts', '4 of Diamonds', '9 of Hearts', 'King of Diamonds', '7 of Spades', 'Jack of Spades', '5 of Hearts']",0,1
10 of Clubs,"['10 of Clubs', '8 of Hearts', '7 of Clubs', '7 of Hearts', '9 of Diamonds', '7 of Diamonds', '2 of Hearts', '4 of Diamonds', '9 of Hearts', 'King of Diamonds', '7 of Spades', 'Jack of Spades', '5 of Hearts']",9,1
10 of Clubs,"['10 of Clubs', '8 of Hearts', '7 of Clubs', '7 of Hearts', '9 of Diamonds', '7 of Diamonds', '2 of Hearts', '4 of Diamonds', '9 of Hearts', 'King of Diamonds', '7 of Spades', 'Jack of Spades', '5 of Hearts', '3 of Clubs', '2 of Spades']",0,1
2 of Spades,"['2 of Spades', '10 of Hearts', 'Ace of Clubs', '9 of Hearts', '6 of Clubs', '3 of Diamonds', '8 of Spades', '9 of Diamonds', '5 of Hearts', 'Jack of Clubs', 'Queen of Clubs']",28,1
2 of Spades,"['2 of Spades', '10 of Hearts', 'Ace of Clubs', '9 of Hearts', '6 of Clubs', '3 of Diamonds', '8 of Spades', '9 of Diamonds', '5 of Hearts', 'Jack of Clubs', 'Queen of Clubs', 'Queen of Diamonds']",15,0
2 of Spades,"['2 of Spades', '10 of Hearts', 'Ace of Clubs', '9 of Hearts', '6 of Clubs', '3 of Diamonds', '8 of Spades', '9 of Diamonds', '5 of Hearts', 'Jack of Clubs', 'Queen of Clubs', 'Queen of Diamonds']",0,0
2 of Spades,"['2 of Spades', '10 of Hearts', 'Ace of Clubs', '9 of Hearts', '6 of Clubs', '3 of Diamonds', '8 of Spades', '9 of Diamonds', '5 of Hearts', 'Jack of Clubs', 'Queen of Clubs', 'Queen of Diamonds']",9,0
2 of Spades,"['2 of Spades', '10 of Hearts', 'Ace of Clubs', '9 of Hearts', '6 of Clubs', '3 of Diamonds', '8 of Spades', '9 of Diamonds', '5 of Hearts', 'Jack of Clubs', 'Queen of Clubs', 'Queen of Diamonds']",0,1
3 of Clubs,"['3 of Clubs', '5 of Clubs', '2 of Hearts', 'Queen of Spades', '5 of Hearts', '6 of Spades', 'King of Spades', '3 of Diamonds', 'Ace of Hearts', '2 of Diamonds', '5 of Spades']",31,0
3 of Clubs,"['3 of Clubs', '5 of Clubs', '2 of Hearts', 'Queen of Spades', '5 of Hearts', '6 of Spades', 'King of Spades', '3 of Diamonds', 'Ace of Hearts', '2 of Diamonds', '5 of Spades', '3 of Hearts', '5 of Diamonds', '4 of Spades']",15,0
3 of Clubs,"['3 of Clubs', '5 of Clubs', '2 of Hearts', 'Queen of Spades', '5 of Hearts', '6 of Spades', 'King of Spades', '3 of Diamonds', 'Ace of Hearts', '2 of Diamonds', '5 of Spades', '3 of Hearts', '5 of Diamonds', '4 of Spades']",0,0
3 of Clubs,"['3 of Clubs', '5 of Clubs', '2 of Hearts', 'Queen of Spades', '5 of Hearts', '6 of Spades', 'King of Spades', '3 of Diamonds', 'Ace of Hearts', '2 of Diamonds', '5 of Spades', '3 of Hearts', '5 of Diamonds', '4 of Spades']",10,0
3 of Clubs,"['3 of Clubs', '5 of Clubs', '2 of Hearts', 'Queen of Spades', '5 of Hearts', '6 of Spades', 'King of Spades', '3 of Diamonds', 'Ace of Hearts', '2 of Diamonds', '5 of Spades', '3 of Hearts', '5 of Diamonds', '4 of Spades', 'King of Clubs']",0,0
6 of Hearts,"['6 of Hearts', 'King of Spades', '8 of Spades', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Jack of Clubs', '5 of Spades', '8 of Hearts', '2 of Hearts', '7 of Spades']",31,1
6 of Hearts,"['6 of Hearts', 'King of Spades', '8 of Spades', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Jack of Clubs', '5 of Spades', '8 of Hearts', '2 of Hearts', '7 of Spades']",20,1
6 of Hearts,"['6 of Hearts', 'King of Spades', '8 of Spades', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Jack of Clubs', '5 of Spades', '8 of Hearts', '2 of Hearts', '7 of Spades', '10 of Diamonds', '3 of Spades', '6 of Spades', '3 of Diamonds', '2 of Diamonds']",0,1
6 of Hearts,"['6 of Hearts', 'King of Spades', '8 of Spades', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Jack of Clubs', '5 of Spades', '8 of Hearts', '2 of Hearts', '7 of Spades', '10 of Diamonds', '3 of Spades', '6 of Spades', '3 of Diamonds', '2 of Diamonds']",10,1
6 of Hearts,"['6 of Hearts', 'King of Spades', '8 of Spades', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Jack of Clubs', '5 of Spades', '8 of Hearts', '2 of Hearts', '7 of Spades', '10 of Diamonds', '3 of Spades', '6 of Spades', '3 of Diamonds', '2 of Diamonds']",0,1
Ace of Spades,"['Ace of Spades', 'Ace of Hearts', '5 of Spades', '3 of Hearts', 'King of Spades', 'Ace of Clubs', '4 of Hearts', '4 of Spades', 'Queen of Spades', '5 of Hearts', '8 of Hearts']",33,0
Ace of Spades,"['Ace of Spades', 'Ace of Hearts', '5 of Spades', '3 of Hearts', 'King of Spades', 'Ace of Clubs', '4 of Hearts', '4 of Spades', 'Queen of Spades', '5 of Hearts', '8 of Hearts', 'Queen of Hearts', '9 of Diamonds']",21,0
Ace of Spades,"['Ace of Spades', 'Ace of Hearts', '5 of Spades', '3 of Hearts', 'King of Spades', 'Ace of Clubs', '4 of Hearts', '4 of Spades', 'Queen of Spades', '5 of Hearts', '8 of Hearts', 'Queen of Hearts', '9 of Diamonds', '7 of Spades']",0,0
Ace of Spades,"['Ace of Spades', 'Ace of Hearts', '5 of Spades', '3 of Hearts', 'King of Spades', 'Ace of Clubs', '4 of Hearts', '4 of Spades', 'Queen of Spades', '5 of Hearts', '8 of Hearts', 'Queen of Hearts', '9 of Diamonds', '7 of Spades']",10,0
Ace of Spades,"['Ace of Spades', 'Ace of Hearts', '5 of Spades', '3 of Hearts', 'King of Spades', 'Ace of Clubs', '4 of Hearts', '4 of Spades', 'Queen of Spades', '5 of Hearts', '8 of Hearts', 'Queen of Hearts', '9 of Diamonds', '7 of Spades']",0,0
10 of Hearts,"['10 of Hearts', '3 of Diamonds', '6 of Hearts', '5 of Spades', '8 of Clubs', '6 of Diamonds', '5 of Clubs', '6 of Clubs', 'Jack of Clubs', '3 of Hearts', 'Queen of Spades']",36,0
