Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
4 of Clubs,"['4 of Clubs', 'Queen of Hearts', '7 of Spades', '4 of Spades', 'Jack of Hearts', 'King of Clubs', '6 of Diamonds', 'King of Spades', '10 of Hearts', '3 of Hearts', '10 of Clubs']",1,20,7 of Hearts,"['3 of Diamonds', '6 of Clubs', 'Ace of Clubs', '2 of Spades', '8 of Clubs']",5,24,True
4 of Clubs,"['4 of Clubs', 'Queen of Hearts', '7 of Spades', '4 of Spades', 'Jack of Hearts', 'King of Clubs', '6 of Diamonds', 'King of Spades', '10 of Hearts', '3 of Hearts', '10 of Clubs']",0,13,7 of Hearts,"['3 of Diamonds', '6 of Clubs', 'Ace of Clubs', '2 of Spades', '8 of Clubs']",5,24,True
6 of Hearts,"['6 of Hearts', '3 of Spades', '2 of Clubs', '10 of Diamonds', 'Jack of Spades', '9 of Diamonds', 'King of Spades', '4 of Hearts', '7 of Spades', '8 of Spades', 'King of Hearts']",10,25,2 of Hearts,"['9 of Hearts', '8 of Clubs']",2,23,False
6 of Hearts,"['6 of Hearts', '3 of Spades', '2 of Clubs', '10 of Diamonds', 'Jack of Spades', '9 of Diamonds', 'King of Spades', '4 of Hearts', '7 of Spades', '8 of Spades', 'King of Hearts', 'Jack of Diamonds', 'King of Diamonds']",5,20,2 of Hearts,"['9 of Hearts', '8 of Clubs']",2,23,True
6 of Hearts,"['6 of Hearts', '3 of Spades', '2 of Clubs', '10 of Diamonds', 'Jack of Spades', '9 of Diamonds', 'King of Spades', '4 of Hearts', '7 of Spades', '8 of Spades', 'King of Hearts', 'Jack of Diamonds', 'King of Diamonds']",0,19,2 of Hearts,"['9 of Hearts', '8 of Clubs']",2,23,True
6 of Hearts,"['6 of Hearts', '3 of Spades', '2 of Clubs', '10 of Diamonds', 'Jack of Spades', '9 of Diamonds', 'King of Spades', '4 of Hearts', '7 of Spades', '8 of Spades', 'King of Hearts', 'Jack of Diamonds', 'King of Diamonds']",2,19,2 of Hearts,"['9 of Hearts', '8 of Clubs']",2,23,True
6 of Hearts,"['6 of Hearts', '3 of Spades', '2 of Clubs', '10 of Diamonds', 'Jack of Spades', '9 of Diamonds', 'King of Spades', '4 of Hearts', '7 of Spades', '8 of Spades', 'King of Hearts', 'Jack of Diamonds', 'King of Diamonds', '8 of Diamonds']",0,18,2 of Hearts,"['9 of Hearts', '8 of Clubs']",2,23,True
King of Clubs,"['King of Clubs', 'Ace of Clubs', '10 of Clubs', '6 of Diamonds', 'Queen of Diamonds', '7 of Clubs', 'Queen of Clubs', '4 of Clubs', 'Ace of Diamonds', '6 of Spades', 'King of Hearts']",12,21,8 of Diamonds,"['3 of Spades', '3 of Diamonds', 'Ace of Hearts']",3,17,True
King of Clubs,"['King of Clubs', 'Ace of Clubs', '10 of Clubs', '6 of Diamonds', 'Queen of Diamonds', '7 of Clubs', 'Queen of Clubs', '4 of Clubs', 'Ace of Diamonds', '6 of Spades', 'King of Hearts', 'Ace of Spades', '9 of Hearts']",6,25,8 of Diamonds,"['3 of Spades', '3 of Diamonds', 'Ace of Hearts']",3,17,False
King of Clubs,"['King of Clubs', 'Ace of Clubs', '10 of Clubs', '6 of Diamonds', 'Queen of Diamonds', '7 of Clubs', 'Queen of Clubs', '4 of Clubs', 'Ace of Diamonds', '6 of Spades', 'King of Hearts', 'Ace of Spades', '9 of Hearts', '9 of Clubs']",0,17,8 of Diamonds,"['3 of Spades', '3 of Diamonds', 'Ace of Hearts']",3,17,False
King of Clubs,"['King of Clubs', 'Ace of Clubs', '10 of Clubs', '6 of Diamonds', 'Queen of Diamonds', '7 of Clubs', 'Queen of Clubs', '4 of Clubs', 'Ace of Diamonds', '6 of Spades', 'King of Hearts', 'Ace of Spades', '9 of Hearts', '9 of Clubs']",3,7,8 of Diamonds,"['3 of Spades', '3 of Diamonds', 'Ace of Hearts']",3,17,False
King of Clubs,"['King of Clubs', 'Ace of Clubs', '10 of Clubs', '6 of Diamonds', 'Queen of Diamonds', '7 of Clubs', 'Queen of Clubs', '4 of Clubs', 'Ace of Diamonds', '6 of Spades', 'King of Hearts', 'Ace of Spades', '9 of Hearts', '9 of Clubs', '2 of Hearts']",0,16,8 of Diamonds,"['3 of Spades', '3 of Diamonds', 'Ace of Hearts']",3,17,False
4 of Spades,"['4 of Spades', '6 of Hearts', '9 of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '8 of Hearts', '2 of Spades', 'Queen of Diamonds', '2 of Clubs', '7 of Hearts', '3 of Diamonds']",13,23,6 of Spades,"['King of Diamonds', 'Jack of Diamonds']",2,24,False
4 of Spades,"['4 of Spades', '6 of Hearts', '9 of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '8 of Hearts', '2 of Spades', 'Queen of Diamonds', '2 of Clubs', '7 of Hearts', '3 of Diamonds', '8 of Spades']",7,16,6 of Spades,"['King of Diamonds', 'Jack of Diamonds']",2,24,True
4 of Spades,"['4 of Spades', '6 of Hearts', '9 of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '8 of Hearts', '2 of Spades', 'Queen of Diamonds', '2 of Clubs', '7 of Hearts', '3 of Diamonds', '8 of Spades', '5 of Spades']",0,10,6 of Spades,"['King of Diamonds', 'Jack of Diamonds']",2,24,True
4 of Spades,"['4 of Spades', '6 of Hearts', '9 of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '8 of Hearts', '2 of Spades', 'Queen of Diamonds', '2 of Clubs', '7 of Hearts', '3 of Diamonds', '8 of Spades', '5 of Spades']",4,18,6 of Spades,"['King of Diamonds', 'Jack of Diamonds']",2,24,True
4 of Spades,"['4 of Spades', '6 of Hearts', '9 of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '8 of Hearts', '2 of Spades', 'Queen of Diamonds', '2 of Clubs', '7 of Hearts', '3 of Diamonds', '8 of Spades', '5 of Spades', '6 of Diamonds']",0,10,6 of Spades,"['King of Diamonds', 'Jack of Diamonds']",2,24,True
6 of Hearts,"['6 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '2 of Clubs', '8 of Diamonds', 'King of Diamonds', '9 of Hearts', '7 of Spades', '2 of Diamonds', 'King of Clubs', '10 of Hearts']",14,21,Jack of Diamonds,"['2 of Hearts', '10 of Spades']",2,18,True
6 of Hearts,"['6 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '2 of Clubs', '8 of Diamonds', 'King of Diamonds', '9 of Hearts', '7 of Spades', '2 of Diamonds', 'King of Clubs', '10 of Hearts', 'Queen of Diamonds']",8,14,Jack of Diamonds,"['2 of Hearts', '10 of Spades']",2,18,False
6 of Hearts,"['6 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '2 of Clubs', '8 of Diamonds', 'King of Diamonds', '9 of Hearts', '7 of Spades', '2 of Diamonds', 'King of Clubs', '10 of Hearts', 'Queen of Diamonds', '4 of Spades']",0,19,Jack of Diamonds,"['2 of Hearts', '10 of Spades']",2,18,True
6 of Hearts,"['6 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '2 of Clubs', '8 of Diamonds', 'King of Diamonds', '9 of Hearts', '7 of Spades', '2 of Diamonds', 'King of Clubs', '10 of Hearts', 'Queen of Diamonds', '4 of Spades']",5,19,Jack of Diamonds,"['2 of Hearts', '10 of Spades']",2,18,True
6 of Hearts,"['6 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '2 of Clubs', '8 of Diamonds', 'King of Diamonds', '9 of Hearts', '7 of Spades', '2 of Diamonds', 'King of Clubs', '10 of Hearts', 'Queen of Diamonds', '4 of Spades', '10 of Clubs']",0,20,Jack of Diamonds,"['2 of Hearts', '10 of Spades']",2,18,True
6 of Spades,"['6 of Spades', '2 of Spades', '7 of Hearts', '3 of Diamonds', '6 of Diamonds', '4 of Diamonds', '4 of Hearts', '2 of Clubs', 'King of Clubs', 'Ace of Diamonds', '9 of Hearts']",16,24,Jack of Spades,"['6 of Clubs', '8 of Clubs']",2,20,False
6 of Spades,"['6 of Spades', '2 of Spades', '7 of Hearts', '3 of Diamonds', '6 of Diamonds', '4 of Diamonds', '4 of Hearts', '2 of Clubs', 'King of Clubs', 'Ace of Diamonds', '9 of Hearts', '5 of Hearts', 'Queen of Hearts']",9,19,Jack of Spades,"['6 of Clubs', '8 of Clubs']",2,20,False
6 of Spades,"['6 of Spades', '2 of Spades', '7 of Hearts', '3 of Diamonds', '6 of Diamonds', '4 of Diamonds', '4 of Hearts', '2 of Clubs', 'King of Clubs', 'Ace of Diamonds', '9 of Hearts', '5 of Hearts', 'Queen of Hearts', 'Queen of Diamonds']",0,4,Jack of Spades,"['6 of Clubs', '8 of Clubs']",2,20,False
6 of Spades,"['6 of Spades', '2 of Spades', '7 of Hearts', '3 of Diamonds', '6 of Diamonds', '4 of Diamonds', '4 of Hearts', '2 of Clubs', 'King of Clubs', 'Ace of Diamonds', '9 of Hearts', '5 of Hearts', 'Queen of Hearts', 'Queen of Diamonds']",5,12,Jack of Spades,"['6 of Clubs', '8 of Clubs']",2,20,False
6 of Spades,"['6 of Spades', '2 of Spades', '7 of Hearts', '3 of Diamonds', '6 of Diamonds', '4 of Diamonds', '4 of Hearts', '2 of Clubs', 'King of Clubs', 'Ace of Diamonds', '9 of Hearts', '5 of Hearts', 'Queen of Hearts', 'Queen of Diamonds']",0,10,Jack of Spades,"['6 of Clubs', '8 of Clubs']",2,20,False
5 of Clubs,"['5 of Clubs', '7 of Diamonds', 'King of Hearts', 'Jack of Spades', '10 of Clubs', '10 of Diamonds', 'Ace of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Diamonds', '6 of Clubs']",16,17,Queen of Diamonds,"['Queen of Spades', 'Ace of Spades', '6 of Spades']",3,22,True
5 of Clubs,"['5 of Clubs', '7 of Diamonds', 'King of Hearts', 'Jack of Spades', '10 of Clubs', '10 of Diamonds', 'Ace of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Diamonds', '6 of Clubs']",9,20,Queen of Diamonds,"['Queen of Spades', 'Ace of Spades', '6 of Spades']",3,22,True
5 of Clubs,"['5 of Clubs', '7 of Diamonds', 'King of Hearts', 'Jack of Spades', '10 of Clubs', '10 of Diamonds', 'Ace of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Diamonds', '6 of Clubs']",0,11,Queen of Diamonds,"['Queen of Spades', 'Ace of Spades', '6 of Spades']",3,22,True
5 of Clubs,"['5 of Clubs', '7 of Diamonds', 'King of Hearts', 'Jack of Spades', '10 of Clubs', '10 of Diamonds', 'Ace of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Diamonds', '6 of Clubs']",5,12,Queen of Diamonds,"['Queen of Spades', 'Ace of Spades', '6 of Spades']",3,22,True
5 of Clubs,"['5 of Clubs', '7 of Diamonds', 'King of Hearts', 'Jack of Spades', '10 of Clubs', '10 of Diamonds', 'Ace of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Diamonds', '6 of Clubs']",0,16,Queen of Diamonds,"['Queen of Spades', 'Ace of Spades', '6 of Spades']",3,22,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '3 of Hearts', '5 of Spades', 'King of Clubs', 'Queen of Clubs', '7 of Clubs', '9 of Hearts', '2 of Clubs', '7 of Spades']",17,19,King of Spades,"['Ace of Spades', '8 of Spades', '4 of Diamonds']",3,18,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '3 of Hearts', '5 of Spades', 'King of Clubs', 'Queen of Clubs', '7 of Clubs', '9 of Hearts', '2 of Clubs', '7 of Spades', '4 of Spades']",10,14,King of Spades,"['Ace of Spades', '8 of Spades', '4 of Diamonds']",3,18,False
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '3 of Hearts', '5 of Spades', 'King of Clubs', 'Queen of Clubs', '7 of Clubs', '9 of Hearts', '2 of Clubs', '7 of Spades', '4 of Spades', '6 of Clubs']",0,20,King of Spades,"['Ace of Spades', '8 of Spades', '4 of Diamonds']",3,18,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '3 of Hearts', '5 of Spades', 'King of Clubs', 'Queen of Clubs', '7 of Clubs', '9 of Hearts', '2 of Clubs', '7 of Spades', '4 of Spades', '6 of Clubs']",6,17,King of Spades,"['Ace of Spades', '8 of Spades', '4 of Diamonds']",3,18,False
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '3 of Hearts', '5 of Spades', 'King of Clubs', 'Queen of Clubs', '7 of Clubs', '9 of Hearts', '2 of Clubs', '7 of Spades', '4 of Spades', '6 of Clubs', 'Ace of Clubs']",0,9,King of Spades,"['Ace of Spades', '8 of Spades', '4 of Diamonds']",3,18,False
Queen of Hearts,"['Queen of Hearts', 'Jack of Hearts', '6 of Spades', '4 of Diamonds', '9 of Hearts', '3 of Diamonds', 'Ace of Clubs', '7 of Diamonds', '7 of Hearts', '5 of Clubs', 'Jack of Diamonds']",18,19,King of Diamonds,"['Ace of Spades', '9 of Clubs']",2,20,False
Queen of Hearts,"['Queen of Hearts', 'Jack of Hearts', '6 of Spades', '4 of Diamonds', '9 of Hearts', '3 of Diamonds', 'Ace of Clubs', '7 of Diamonds', '7 of Hearts', '5 of Clubs', 'Jack of Diamonds', '3 of Spades']",12,21,King of Diamonds,"['Ace of Spades', '9 of Clubs']",2,20,True
Queen of Hearts,"['Queen of Hearts', 'Jack of Hearts', '6 of Spades', '4 of Diamonds', '9 of Hearts', '3 of Diamonds', 'Ace of Clubs', '7 of Diamonds', '7 of Hearts', '5 of Clubs', 'Jack of Diamonds', '3 of Spades', '2 of Hearts', '6 of Clubs']",0,4,King of Diamonds,"['Ace of Spades', '9 of Clubs']",2,20,False
Queen of Hearts,"['Queen of Hearts', 'Jack of Hearts', '6 of Spades', '4 of Diamonds', '9 of Hearts', '3 of Diamonds', 'Ace of Clubs', '7 of Diamonds', '7 of Hearts', '5 of Clubs', 'Jack of Diamonds', '3 of Spades', '2 of Hearts', '6 of Clubs']",8,7,King of Diamonds,"['Ace of Spades', '9 of Clubs']",2,20,False
Queen of Hearts,"['Queen of Hearts', 'Jack of Hearts', '6 of Spades', '4 of Diamonds', '9 of Hearts', '3 of Diamonds', 'Ace of Clubs', '7 of Diamonds', '7 of Hearts', '5 of Clubs', 'Jack of Diamonds', '3 of Spades', '2 of Hearts', '6 of Clubs', '5 of Diamonds', '5 of Hearts']",0,15,King of Diamonds,"['Ace of Spades', '9 of Clubs']",2,20,False
7 of Hearts,"['7 of Hearts', '5 of Diamonds', '5 of Spades', 'Queen of Clubs', 'King of Diamonds', '2 of Clubs', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '10 of Spades', '7 of Clubs']",24,20,7 of Spades,"['2 of Spades', '2 of Diamonds', '6 of Hearts']",3,17,True
7 of Hearts,"['7 of Hearts', '5 of Diamonds', '5 of Spades', 'Queen of Clubs', 'King of Diamonds', '2 of Clubs', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '10 of Spades', '7 of Clubs', '5 of Clubs', 'Jack of Diamonds', '6 of Spades', 'Ace of Diamonds', '3 of Hearts', '9 of Spades']",12,20,7 of Spades,"['2 of Spades', '2 of Diamonds', '6 of Hearts']",3,17,True
7 of Hearts,"['7 of Hearts', '5 of Diamonds', '5 of Spades', 'Queen of Clubs', 'King of Diamonds', '2 of Clubs', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '10 of Spades', '7 of Clubs', '5 of Clubs', 'Jack of Diamonds', '6 of Spades', 'Ace of Diamonds', '3 of Hearts', '9 of Spades']",0,3,7 of Spades,"['2 of Spades', '2 of Diamonds', '6 of Hearts']",3,17,False
7 of Hearts,"['7 of Hearts', '5 of Diamonds', '5 of Spades', 'Queen of Clubs', 'King of Diamonds', '2 of Clubs', 'Ace of Hearts', '4 of Clubs', '10 of Diamonds', '10 of Spades', '7 of Clubs', '5 of Clubs', 'Jack of Diamonds', '6 of Spades', 'Ace of Diamonds', '3 of Hearts', '9 of Spades']",9,15,7 of Spades,"['2 of Spades', '2 of Diamonds', '6 of Hearts']",3,17,False
