Drawn_Cards,Dealer_Up,Num_of_Hits,Seat_At_Table,Did_YOU_Win
"['5 of Clubs', '6 of Clubs', '3 of Clubs', '6 of Spades', '10 of Diamonds', '3 of Spades', '3 of Diamonds', 'Ace of Spades', 'Ace of Diamonds', '6 of Hearts', '4 of Spades']",5 of Clubs,1,0,1
"['5 of Clubs', '6 of Clubs', '3 of Clubs', '6 of Spades', '10 of Diamonds', '3 of Spades', '3 of Diamonds', 'Ace of Spades', 'Ace of Diamonds', '6 of Hearts', '4 of Spades', 'King of Spades']",5 of Clubs,0,1,0
"['5 of Clubs', '6 of Clubs', '3 of Clubs', '6 of Spades', '10 of Diamonds', '3 of Spades', '3 of Diamonds', 'Ace of Spades', 'Ace of Diamonds', '6 of Hearts', '4 of Spades', 'King of Spades']",5 of Clubs,0,2,0
"['5 of Clubs', '6 of Clubs', '3 of Clubs', '6 of Spades', '10 of Diamonds', '3 of Spades', '3 of Diamonds', 'Ace of Spades', 'Ace of Diamonds', '6 of Hearts', '4 of Spades', 'King of Spades']",5 of Clubs,0,3,0
"['5 of Clubs', '6 of Clubs', '3 of Clubs', '6 of Spades', '10 of Diamonds', '3 of Spades', '3 of Diamonds', 'Ace of Spades', 'Ace of Diamonds', '6 of Hearts', '4 of Spades', 'King of Spades']",5 of Clubs,0,4,0
"['8 of Clubs', '10 of Clubs', 'Jack of Diamonds', '7 of Clubs', '2 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Diamonds', '10 of Spades', '3 of Clubs', '2 of Clubs']",8 of Clubs,0,0,1
"['8 of Clubs', '10 of Clubs', 'Jack of Diamonds', '7 of Clubs', '2 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Diamonds', '10 of Spades', '3 of Clubs', '2 of Clubs']",8 of Clubs,2,1,0
"['8 of Clubs', '10 of Clubs', 'Jack of Diamonds', '7 of Clubs', '2 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Diamonds', '10 of Spades', '3 of Clubs', '2 of Clubs', '6 of Hearts', 'King of Diamonds']",8 of Clubs,0,2,1
"['8 of Clubs', '10 of Clubs', 'Jack of Diamonds', '7 of Clubs', '2 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Diamonds', '10 of Spades', '3 of Clubs', '2 of Clubs', '6 of Hearts', 'King of Diamonds']",8 of Clubs,0,3,1
"['8 of Clubs', '10 of Clubs', 'Jack of Diamonds', '7 of Clubs', '2 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Diamonds', '10 of Spades', '3 of Clubs', '2 of Clubs', '6 of Hearts', 'King of Diamonds']",8 of Clubs,0,4,0
"['3 of Hearts', '8 of Spades', '10 of Diamonds', '4 of Clubs', '8 of Hearts', '6 of Diamonds', '7 of Diamonds', 'King of Diamonds', '3 of Diamonds', '8 of Clubs', '4 of Spades']",3 of Hearts,0,0,1
"['3 of Hearts', '8 of Spades', '10 of Diamonds', '4 of Clubs', '8 of Hearts', '6 of Diamonds', '7 of Diamonds', 'King of Diamonds', '3 of Diamonds', '8 of Clubs', '4 of Spades']",3 of Hearts,1,1,1
"['3 of Hearts', '8 of Spades', '10 of Diamonds', '4 of Clubs', '8 of Hearts', '6 of Diamonds', '7 of Diamonds', 'King of Diamonds', '3 of Diamonds', '8 of Clubs', '4 of Spades', '2 of Clubs']",3 of Hearts,0,2,1
"['3 of Hearts', '8 of Spades', '10 of Diamonds', '4 of Clubs', '8 of Hearts', '6 of Diamonds', '7 of Diamonds', 'King of Diamonds', '3 of Diamonds', '8 of Clubs', '4 of Spades', '2 of Clubs']",3 of Hearts,0,3,1
"['3 of Hearts', '8 of Spades', '10 of Diamonds', '4 of Clubs', '8 of Hearts', '6 of Diamonds', '7 of Diamonds', 'King of Diamonds', '3 of Diamonds', '8 of Clubs', '4 of Spades', '2 of Clubs']",3 of Hearts,0,4,1
"['3 of Spades', 'Queen of Clubs', '8 of Spades', '10 of Diamonds', '7 of Clubs', '6 of Hearts', '10 of Clubs', 'Queen of Spades', 'Ace of Spades', 'Ace of Hearts', 'Jack of Diamonds']",3 of Spades,0,0,1
"['3 of Spades', 'Queen of Clubs', '8 of Spades', '10 of Diamonds', '7 of Clubs', '6 of Hearts', '10 of Clubs', 'Queen of Spades', 'Ace of Spades', 'Ace of Hearts', 'Jack of Diamonds']",3 of Spades,0,1,1
"['3 of Spades', 'Queen of Clubs', '8 of Spades', '10 of Diamonds', '7 of Clubs', '6 of Hearts', '10 of Clubs', 'Queen of Spades', 'Ace of Spades', 'Ace of Hearts', 'Jack of Diamonds']",3 of Spades,0,2,1
"['3 of Spades', 'Queen of Clubs', '8 of Spades', '10 of Diamonds', '7 of Clubs', '6 of Hearts', '10 of Clubs', 'Queen of Spades', 'Ace of Spades', 'Ace of Hearts', 'Jack of Diamonds']",3 of Spades,1,3,1
"['3 of Spades', 'Queen of Clubs', '8 of Spades', '10 of Diamonds', '7 of Clubs', '6 of Hearts', '10 of Clubs', 'Queen of Spades', 'Ace of Spades', 'Ace of Hearts', 'Jack of Diamonds', '5 of Clubs']",3 of Spades,0,4,1
"['4 of Clubs', 'Ace of Diamonds', '8 of Clubs', 'Jack of Spades', '3 of Spades', '4 of Spades', '7 of Hearts', '10 of Hearts', '6 of Diamonds', '7 of Spades', '2 of Hearts']",4 of Clubs,1,0,0
"['4 of Clubs', 'Ace of Diamonds', '8 of Clubs', 'Jack of Spades', '3 of Spades', '4 of Spades', '7 of Hearts', '10 of Hearts', '6 of Diamonds', '7 of Spades', '2 of Hearts', '8 of Diamonds']",4 of Clubs,0,1,0
"['4 of Clubs', 'Ace of Diamonds', '8 of Clubs', 'Jack of Spades', '3 of Spades', '4 of Spades', '7 of Hearts', '10 of Hearts', '6 of Diamonds', '7 of Spades', '2 of Hearts', '8 of Diamonds']",4 of Clubs,0,2,0
"['4 of Clubs', 'Ace of Diamonds', '8 of Clubs', 'Jack of Spades', '3 of Spades', '4 of Spades', '7 of Hearts', '10 of Hearts', '6 of Diamonds', '7 of Spades', '2 of Hearts', '8 of Diamonds']",4 of Clubs,1,3,1
"['4 of Clubs', 'Ace of Diamonds', '8 of Clubs', 'Jack of Spades', '3 of Spades', '4 of Spades', '7 of Hearts', '10 of Hearts', '6 of Diamonds', '7 of Spades', '2 of Hearts', '8 of Diamonds', '5 of Clubs']",4 of Clubs,0,4,0
"['10 of Diamonds', 'Ace of Diamonds', 'Queen of Hearts', '9 of Diamonds', '9 of Hearts', 'Queen of Clubs', '5 of Hearts', '2 of Diamonds', '6 of Hearts', 'Queen of Diamonds', '5 of Clubs']",10 of Diamonds,2,0,0
"['10 of Diamonds', 'Ace of Diamonds', 'Queen of Hearts', '9 of Diamonds', '9 of Hearts', 'Queen of Clubs', '5 of Hearts', '2 of Diamonds', '6 of Hearts', 'Queen of Diamonds', '5 of Clubs', '5 of Diamonds', '9 of Clubs']",10 of Diamonds,4,1,0
"['10 of Diamonds', 'Ace of Diamonds', 'Queen of Hearts', '9 of Diamonds', '9 of Hearts', 'Queen of Clubs', '5 of Hearts', '2 of Diamonds', '6 of Hearts', 'Queen of Diamonds', '5 of Clubs', '5 of Diamonds', '9 of Clubs', '3 of Hearts', 'Jack of Diamonds', '2 of Clubs', '7 of Clubs']",10 of Diamonds,0,2,0
"['10 of Diamonds', 'Ace of Diamonds', 'Queen of Hearts', '9 of Diamonds', '9 of Hearts', 'Queen of Clubs', '5 of Hearts', '2 of Diamonds', '6 of Hearts', 'Queen of Diamonds', '5 of Clubs', '5 of Diamonds', '9 of Clubs', '3 of Hearts', 'Jack of Diamonds', '2 of Clubs', '7 of Clubs']",10 of Diamonds,0,3,0
"['10 of Diamonds', 'Ace of Diamonds', 'Queen of Hearts', '9 of Diamonds', '9 of Hearts', 'Queen of Clubs', '5 of Hearts', '2 of Diamonds', '6 of Hearts', 'Queen of Diamonds', '5 of Clubs', '5 of Diamonds', '9 of Clubs', '3 of Hearts', 'Jack of Diamonds', '2 of Clubs', '7 of Clubs']",10 of Diamonds,0,4,0
"['7 of Spades', '10 of Spades', '5 of Clubs', '8 of Clubs', '9 of Hearts', 'King of Clubs', 'King of Diamonds', 'Queen of Clubs', 'Ace of Diamonds', 'Queen of Hearts', 'Jack of Clubs']",7 of Spades,2,0,0
"['7 of Spades', '10 of Spades', '5 of Clubs', '8 of Clubs', '9 of Hearts', 'King of Clubs', 'King of Diamonds', 'Queen of Clubs', 'Ace of Diamonds', 'Queen of Hearts', 'Jack of Clubs', 'Ace of Clubs', '6 of Diamonds']",7 of Spades,0,1,0
"['7 of Spades', '10 of Spades', '5 of Clubs', '8 of Clubs', '9 of Hearts', 'King of Clubs', 'King of Diamonds', 'Queen of Clubs', 'Ace of Diamonds', 'Queen of Hearts', 'Jack of Clubs', 'Ace of Clubs', '6 of Diamonds']",7 of Spades,0,2,0
"['7 of Spades', '10 of Spades', '5 of Clubs', '8 of Clubs', '9 of Hearts', 'King of Clubs', 'King of Diamonds', 'Queen of Clubs', 'Ace of Diamonds', 'Queen of Hearts', 'Jack of Clubs', 'Ace of Clubs', '6 of Diamonds']",7 of Spades,0,3,0
"['7 of Spades', '10 of Spades', '5 of Clubs', '8 of Clubs', '9 of Hearts', 'King of Clubs', 'King of Diamonds', 'Queen of Clubs', 'Ace of Diamonds', 'Queen of Hearts', 'Jack of Clubs', 'Ace of Clubs', '6 of Diamonds']",7 of Spades,0,4,1
"['7 of Diamonds', 'Jack of Diamonds', 'King of Clubs', '9 of Clubs', '10 of Spades', '10 of Diamonds', '5 of Clubs', '4 of Clubs', '6 of Clubs', '7 of Spades', 'Queen of Clubs']",7 of Diamonds,0,0,0
"['7 of Diamonds', 'Jack of Diamonds', 'King of Clubs', '9 of Clubs', '10 of Spades', '10 of Diamonds', '5 of Clubs', '4 of Clubs', '6 of Clubs', '7 of Spades', 'Queen of Clubs']",7 of Diamonds,0,1,0
"['7 of Diamonds', 'Jack of Diamonds', 'King of Clubs', '9 of Clubs', '10 of Spades', '10 of Diamonds', '5 of Clubs', '4 of Clubs', '6 of Clubs', '7 of Spades', 'Queen of Clubs']",7 of Diamonds,0,2,0
"['7 of Diamonds', 'Jack of Diamonds', 'King of Clubs', '9 of Clubs', '10 of Spades', '10 of Diamonds', '5 of Clubs', '4 of Clubs', '6 of Clubs', '7 of Spades', 'Queen of Clubs']",7 of Diamonds,0,3,0
"['7 of Diamonds', 'Jack of Diamonds', 'King of Clubs', '9 of Clubs', '10 of Spades', '10 of Diamonds', '5 of Clubs', '4 of Clubs', '6 of Clubs', '7 of Spades', 'Queen of Clubs']",7 of Diamonds,0,4,0
"['4 of Hearts', '9 of Spades', '4 of Diamonds', 'Ace of Spades', '4 of Spades', '5 of Clubs', '7 of Clubs', 'Jack of Spades', '9 of Diamonds', 'King of Hearts', 'Queen of Clubs']",4 of Hearts,2,0,1
"['4 of Hearts', '9 of Spades', '4 of Diamonds', 'Ace of Spades', '4 of Spades', '5 of Clubs', '7 of Clubs', 'Jack of Spades', '9 of Diamonds', 'King of Hearts', 'Queen of Clubs', '2 of Spades', '3 of Spades']",4 of Hearts,2,1,0
"['4 of Hearts', '9 of Spades', '4 of Diamonds', 'Ace of Spades', '4 of Spades', '5 of Clubs', '7 of Clubs', 'Jack of Spades', '9 of Diamonds', 'King of Hearts', 'Queen of Clubs', '2 of Spades', '3 of Spades', '5 of Diamonds', '6 of Spades']",4 of Hearts,0,2,0
"['4 of Hearts', '9 of Spades', '4 of Diamonds', 'Ace of Spades', '4 of Spades', '5 of Clubs', '7 of Clubs', 'Jack of Spades', '9 of Diamonds', 'King of Hearts', 'Queen of Clubs', '2 of Spades', '3 of Spades', '5 of Diamonds', '6 of Spades']",4 of Hearts,0,3,1
"['4 of Hearts', '9 of Spades', '4 of Diamonds', 'Ace of Spades', '4 of Spades', '5 of Clubs', '7 of Clubs', 'Jack of Spades', '9 of Diamonds', 'King of Hearts', 'Queen of Clubs', '2 of Spades', '3 of Spades', '5 of Diamonds', '6 of Spades']",4 of Hearts,0,4,1
"['Queen of Clubs', 'Ace of Diamonds', 'King of Spades', '2 of Spades', '6 of Spades', '10 of Hearts', 'King of Diamonds', '6 of Hearts', 'Jack of Spades', '10 of Diamonds', '10 of Clubs']",Queen of Clubs,2,0,0
"['Queen of Clubs', 'Ace of Diamonds', 'King of Spades', '2 of Spades', '6 of Spades', '10 of Hearts', 'King of Diamonds', '6 of Hearts', 'Jack of Spades', '10 of Diamonds', '10 of Clubs', '3 of Spades', 'King of Clubs']",Queen of Clubs,2,1,1
"['Queen of Clubs', 'Ace of Diamonds', 'King of Spades', '2 of Spades', '6 of Spades', '10 of Hearts', 'King of Diamonds', '6 of Hearts', 'Jack of Spades', '10 of Diamonds', '10 of Clubs', '3 of Spades', 'King of Clubs', '7 of Diamonds', '6 of Clubs']",Queen of Clubs,0,2,1
"['Queen of Clubs', 'Ace of Diamonds', 'King of Spades', '2 of Spades', '6 of Spades', '10 of Hearts', 'King of Diamonds', '6 of Hearts', 'Jack of Spades', '10 of Diamonds', '10 of Clubs', '3 of Spades', 'King of Clubs', '7 of Diamonds', '6 of Clubs']",Queen of Clubs,1,3,1
"['Queen of Clubs', 'Ace of Diamonds', 'King of Spades', '2 of Spades', '6 of Spades', '10 of Hearts', 'King of Diamonds', '6 of Hearts', 'Jack of Spades', '10 of Diamonds', '10 of Clubs', '3 of Spades', 'King of Clubs', '7 of Diamonds', '6 of Clubs', '4 of Diamonds']",Queen of Clubs,0,4,0
"['Ace of Spades', 'Queen of Diamonds', '9 of Spades', '3 of Spades', '10 of Spades', 'Jack of Spades', '8 of Diamonds', '3 of Clubs', '7 of Clubs', '6 of Spades', '2 of Clubs']",Ace of Spades,0,0,1
"['Ace of Spades', 'Queen of Diamonds', '9 of Spades', '3 of Spades', '10 of Spades', 'Jack of Spades', '8 of Diamonds', '3 of Clubs', '7 of Clubs', '6 of Spades', '2 of Clubs']",Ace of Spades,1,1,0
"['Ace of Spades', 'Queen of Diamonds', '9 of Spades', '3 of Spades', '10 of Spades', 'Jack of Spades', '8 of Diamonds', '3 of Clubs', '7 of Clubs', '6 of Spades', '2 of Clubs', 'Jack of Clubs']",Ace of Spades,0,2,1
"['Ace of Spades', 'Queen of Diamonds', '9 of Spades', '3 of Spades', '10 of Spades', 'Jack of Spades', '8 of Diamonds', '3 of Clubs', '7 of Clubs', '6 of Spades', '2 of Clubs', 'Jack of Clubs']",Ace of Spades,1,3,0
"['Ace of Spades', 'Queen of Diamonds', '9 of Spades', '3 of Spades', '10 of Spades', 'Jack of Spades', '8 of Diamonds', '3 of Clubs', '7 of Clubs', '6 of Spades', '2 of Clubs', 'Jack of Clubs', '6 of Hearts']",Ace of Spades,0,4,0
"['9 of Clubs', 'Ace of Hearts', '6 of Spades', '5 of Clubs', '6 of Clubs', '10 of Hearts', '8 of Hearts', '2 of Diamonds', 'Queen of Diamonds', '9 of Spades', '8 of Spades']",9 of Clubs,1,0,0
"['9 of Clubs', 'Ace of Hearts', '6 of Spades', '5 of Clubs', '6 of Clubs', '10 of Hearts', '8 of Hearts', '2 of Diamonds', 'Queen of Diamonds', '9 of Spades', '8 of Spades', 'King of Diamonds']",9 of Clubs,1,1,1
"['9 of Clubs', 'Ace of Hearts', '6 of Spades', '5 of Clubs', '6 of Clubs', '10 of Hearts', '8 of Hearts', '2 of Diamonds', 'Queen of Diamonds', '9 of Spades', '8 of Spades', 'King of Diamonds', 'Jack of Clubs']",9 of Clubs,0,2,0
"['9 of Clubs', 'Ace of Hearts', '6 of Spades', '5 of Clubs', '6 of Clubs', '10 of Hearts', '8 of Hearts', '2 of Diamonds', 'Queen of Diamonds', '9 of Spades', '8 of Spades', 'King of Diamonds', 'Jack of Clubs']",9 of Clubs,1,3,0
"['9 of Clubs', 'Ace of Hearts', '6 of Spades', '5 of Clubs', '6 of Clubs', '10 of Hearts', '8 of Hearts', '2 of Diamonds', 'Queen of Diamonds', '9 of Spades', '8 of Spades', 'King of Diamonds', 'Jack of Clubs', 'King of Clubs']",9 of Clubs,0,4,0
"['3 of Diamonds', '9 of Diamonds', 'Jack of Spades', 'Queen of Spades', '6 of Diamonds', '9 of Spades', '2 of Spades', '4 of Spades', 'Jack of Hearts', 'Queen of Diamonds', '10 of Hearts']",3 of Diamonds,0,0,1
"['3 of Diamonds', '9 of Diamonds', 'Jack of Spades', 'Queen of Spades', '6 of Diamonds', '9 of Spades', '2 of Spades', '4 of Spades', 'Jack of Hearts', 'Queen of Diamonds', '10 of Hearts']",3 of Diamonds,0,1,0
"['3 of Diamonds', '9 of Diamonds', 'Jack of Spades', 'Queen of Spades', '6 of Diamonds', '9 of Spades', '2 of Spades', '4 of Spades', 'Jack of Hearts', 'Queen of Diamonds', '10 of Hearts']",3 of Diamonds,0,2,0
"['3 of Diamonds', '9 of Diamonds', 'Jack of Spades', 'Queen of Spades', '6 of Diamonds', '9 of Spades', '2 of Spades', '4 of Spades', 'Jack of Hearts', 'Queen of Diamonds', '10 of Hearts']",3 of Diamonds,0,3,0
"['3 of Diamonds', '9 of Diamonds', 'Jack of Spades', 'Queen of Spades', '6 of Diamonds', '9 of Spades', '2 of Spades', '4 of Spades', 'Jack of Hearts', 'Queen of Diamonds', '10 of Hearts']",3 of Diamonds,0,4,1
"['4 of Spades', '3 of Diamonds', '5 of Spades', 'Ace of Hearts', 'King of Clubs', '10 of Diamonds', 'King of Spades', 'Queen of Diamonds', 'King of Diamonds', 'Queen of Clubs', '8 of Diamonds']",4 of Spades,2,0,1
"['4 of Spades', '3 of Diamonds', '5 of Spades', 'Ace of Hearts', 'King of Clubs', '10 of Diamonds', 'King of Spades', 'Queen of Diamonds', 'King of Diamonds', 'Queen of Clubs', '8 of Diamonds', '7 of Clubs', '6 of Diamonds']",4 of Spades,1,1,1
"['4 of Spades', '3 of Diamonds', '5 of Spades', 'Ace of Hearts', 'King of Clubs', '10 of Diamonds', 'King of Spades', 'Queen of Diamonds', 'King of Diamonds', 'Queen of Clubs', '8 of Diamonds', '7 of Clubs', '6 of Diamonds', 'Jack of Clubs']",4 of Spades,0,2,1
"['4 of Spades', '3 of Diamonds', '5 of Spades', 'Ace of Hearts', 'King of Clubs', '10 of Diamonds', 'King of Spades', 'Queen of Diamonds', 'King of Diamonds', 'Queen of Clubs', '8 of Diamonds', '7 of Clubs', '6 of Diamonds', 'Jack of Clubs']",4 of Spades,0,3,1
"['4 of Spades', '3 of Diamonds', '5 of Spades', 'Ace of Hearts', 'King of Clubs', '10 of Diamonds', 'King of Spades', 'Queen of Diamonds', 'King of Diamonds', 'Queen of Clubs', '8 of Diamonds', '7 of Clubs', '6 of Diamonds', 'Jack of Clubs']",4 of Spades,0,4,1
"['Queen of Clubs', '2 of Hearts', '8 of Clubs', '10 of Spades', '2 of Clubs', 'Queen of Diamonds', '10 of Clubs', 'Ace of Hearts', '2 of Spades', '6 of Spades', '7 of Clubs']",Queen of Clubs,2,0,0
"['Queen of Clubs', '2 of Hearts', '8 of Clubs', '10 of Spades', '2 of Clubs', 'Queen of Diamonds', '10 of Clubs', 'Ace of Hearts', '2 of Spades', '6 of Spades', '7 of Clubs', '4 of Hearts', '9 of Clubs']",Queen of Clubs,1,1,0
"['Queen of Clubs', '2 of Hearts', '8 of Clubs', '10 of Spades', '2 of Clubs', 'Queen of Diamonds', '10 of Clubs', 'Ace of Hearts', '2 of Spades', '6 of Spades', '7 of Clubs', '4 of Hearts', '9 of Clubs', '5 of Hearts']",Queen of Clubs,0,2,0
"['Queen of Clubs', '2 of Hearts', '8 of Clubs', '10 of Spades', '2 of Clubs', 'Queen of Diamonds', '10 of Clubs', 'Ace of Hearts', '2 of Spades', '6 of Spades', '7 of Clubs', '4 of Hearts', '9 of Clubs', '5 of Hearts']",Queen of Clubs,1,3,0
"['Queen of Clubs', '2 of Hearts', '8 of Clubs', '10 of Spades', '2 of Clubs', 'Queen of Diamonds', '10 of Clubs', 'Ace of Hearts', '2 of Spades', '6 of Spades', '7 of Clubs', '4 of Hearts', '9 of Clubs', '5 of Hearts', 'King of Diamonds']",Queen of Clubs,0,4,0
"['Queen of Diamonds', '9 of Clubs', '6 of Hearts', 'Jack of Clubs', 'Ace of Clubs', '7 of Spades', '8 of Hearts', '2 of Hearts', '9 of Diamonds', 'Ace of Spades', '8 of Spades']",Queen of Diamonds,1,0,0
"['Queen of Diamonds', '9 of Clubs', '6 of Hearts', 'Jack of Clubs', 'Ace of Clubs', '7 of Spades', '8 of Hearts', '2 of Hearts', '9 of Diamonds', 'Ace of Spades', '8 of Spades', 'Jack of Hearts']",Queen of Diamonds,1,1,1
"['Queen of Diamonds', '9 of Clubs', '6 of Hearts', 'Jack of Clubs', 'Ace of Clubs', '7 of Spades', '8 of Hearts', '2 of Hearts', '9 of Diamonds', 'Ace of Spades', '8 of Spades', 'Jack of Hearts', 'Queen of Clubs']",Queen of Diamonds,0,2,0
"['Queen of Diamonds', '9 of Clubs', '6 of Hearts', 'Jack of Clubs', 'Ace of Clubs', '7 of Spades', '8 of Hearts', '2 of Hearts', '9 of Diamonds', 'Ace of Spades', '8 of Spades', 'Jack of Hearts', 'Queen of Clubs']",Queen of Diamonds,1,3,0
"['Queen of Diamonds', '9 of Clubs', '6 of Hearts', 'Jack of Clubs', 'Ace of Clubs', '7 of Spades', '8 of Hearts', '2 of Hearts', '9 of Diamonds', 'Ace of Spades', '8 of Spades', 'Jack of Hearts', 'Queen of Clubs', '8 of Clubs']",Queen of Diamonds,0,4,0
"['5 of Spades', '3 of Clubs', '8 of Spades', '2 of Clubs', '6 of Hearts', 'Ace of Hearts', '7 of Hearts', 'Jack of Spades', 'Ace of Spades', '8 of Clubs', '10 of Clubs']",5 of Spades,1,0,1
"['5 of Spades', '3 of Clubs', '8 of Spades', '2 of Clubs', '6 of Hearts', 'Ace of Hearts', '7 of Hearts', 'Jack of Spades', 'Ace of Spades', '8 of Clubs', '10 of Clubs', '10 of Diamonds']",5 of Spades,1,1,1
"['5 of Spades', '3 of Clubs', '8 of Spades', '2 of Clubs', '6 of Hearts', 'Ace of Hearts', '7 of Hearts', 'Jack of Spades', 'Ace of Spades', '8 of Clubs', '10 of Clubs', '10 of Diamonds', 'Jack of Hearts']",5 of Spades,0,2,1
"['5 of Spades', '3 of Clubs', '8 of Spades', '2 of Clubs', '6 of Hearts', 'Ace of Hearts', '7 of Hearts', 'Jack of Spades', 'Ace of Spades', '8 of Clubs', '10 of Clubs', '10 of Diamonds', 'Jack of Hearts']",5 of Spades,1,3,1
"['5 of Spades', '3 of Clubs', '8 of Spades', '2 of Clubs', '6 of Hearts', 'Ace of Hearts', '7 of Hearts', 'Jack of Spades', 'Ace of Spades', '8 of Clubs', '10 of Clubs', '10 of Diamonds', 'Jack of Hearts', '2 of Diamonds']",5 of Spades,0,4,1
"['7 of Hearts', '9 of Clubs', '10 of Hearts', 'Queen of Hearts', '9 of Hearts', '2 of Diamonds', '6 of Spades', '4 of Hearts', 'Queen of Clubs', 'Ace of Spades', 'Ace of Diamonds']",7 of Hearts,0,0,0
"['7 of Hearts', '9 of Clubs', '10 of Hearts', 'Queen of Hearts', '9 of Hearts', '2 of Diamonds', '6 of Spades', '4 of Hearts', 'Queen of Clubs', 'Ace of Spades', 'Ace of Diamonds']",7 of Hearts,0,1,0
"['7 of Hearts', '9 of Clubs', '10 of Hearts', 'Queen of Hearts', '9 of Hearts', '2 of Diamonds', '6 of Spades', '4 of Hearts', 'Queen of Clubs', 'Ace of Spades', 'Ace of Diamonds']",7 of Hearts,0,2,0
"['7 of Hearts', '9 of Clubs', '10 of Hearts', 'Queen of Hearts', '9 of Hearts', '2 of Diamonds', '6 of Spades', '4 of Hearts', 'Queen of Clubs', 'Ace of Spades', 'Ace of Diamonds']",7 of Hearts,1,3,0
"['7 of Hearts', '9 of Clubs', '10 of Hearts', 'Queen of Hearts', '9 of Hearts', '2 of Diamonds', '6 of Spades', '4 of Hearts', 'Queen of Clubs', 'Ace of Spades', 'Ace of Diamonds', '4 of Diamonds']",7 of Hearts,0,4,0
"['5 of Diamonds', '10 of Diamonds', '9 of Spades', 'King of Diamonds', 'Ace of Hearts', '7 of Hearts', '9 of Clubs', '4 of Clubs', '10 of Hearts', '8 of Diamonds', 'Queen of Diamonds']",5 of Diamonds,0,0,1
"['5 of Diamonds', '10 of Diamonds', '9 of Spades', 'King of Diamonds', 'Ace of Hearts', '7 of Hearts', '9 of Clubs', '4 of Clubs', '10 of Hearts', '8 of Diamonds', 'Queen of Diamonds']",5 of Diamonds,1,1,1
"['5 of Diamonds', '10 of Diamonds', '9 of Spades', 'King of Diamonds', 'Ace of Hearts', '7 of Hearts', '9 of Clubs', '4 of Clubs', '10 of Hearts', '8 of Diamonds', 'Queen of Diamonds', '9 of Diamonds']",5 of Diamonds,0,2,1
